County,Year,Population
Yates,2012,25351
Albany,2011,303957
Allegany,2011,48991
Bronx,2011,1374593
Broome,2011,200448
Cattaraugus,2011,80478
Cayuga,2011,80204
Chautauqua,2011,135018
Chemung,2011,88731
Chenango,2011,50788
Clinton,2011,82265
Columbia,2011,63055
Cortland,2011,49441
Delaware,2011,48079
Dutchess,2011,296842
Erie,2011,919714
Essex,2011,39357
Franklin,2011,51711
Fulton,2011,55456
Genesee,2011,59966
Greene,2011,49298
Hamilton,2011,4870
Herkimer,2011,64354
Jefferson,2011,115941
Kings,2011,2486119
Lewis,2011,27037
Livingston,2011,65387
Madison,2011,73156
Monroe,2011,742783
Montgomery,2011,49985
Nassau,2011,1332947
New York,2011,1588257
Niagara,2011,216036
Oneida,2011,234549
Onondaga,2011,464921
Ontario,2011,107070
Orange,2011,371833
Orleans,2011,43011
Oswego,2011,122206
Otsego,2011,62380
Putnam,2011,99662
Queens,2011,2213977
Rensselaer,2011,159053
Richmond,2011,466034
Rockland,2011,308682
St. Lawrence,2011,111809
Saratoga,2011,218520
Schenectady,2011,153935
Schoharie,2011,32766
Schuyler,2011,18490
Seneca,2011,35306
Steuben,2011,98837
Suffolk,2011,1487177
Sullivan,2011,77553
Tioga,2011,51287
Tompkins,2011,101033
Ulster,2011,182710
Warren,2011,65767
Washington,2011,63174
Wayne,2011,93628
Westchester,2011,944249
Wyoming,2011,42223
Yates,2011,25342
Albany,2010,304032
Allegany,2010,49105
Bronx,2010,1365725
Broome,2010,200804
Cattaraugus,2010,80776
Cayuga,2010,80431
Chautauqua,2010,135263
Chemung,2010,88708
Chenango,2010,51045
Clinton,2010,82380
Columbia,2010,63241
Cortland,2010,49452
Delaware,2010,48220
Dutchess,2010,296152
Erie,2010,921202
Essex,2010,39416
Franklin,2010,51697
Fulton,2010,55497
Genesee,2010,59952
Greene,2010,49410
Hamilton,2010,4908
Herkimer,2010,64332
Jefferson,2010,115069
Kings,2010,2466782
Lewis,2010,27017
Livingston,2010,65441
Madison,2010,72887
Monroe,2010,741274
Montgomery,2010,49945
Nassau,2010,1329083
New York,2010,1583345
Niagara,2010,216064
Oneida,2010,234533
Onondaga,2010,463704
Ontario,2010,106298
Orange,2010,370201
Orleans,2010,43169
Oswego,2010,122220
Otsego,2010,62604
Putnam,2010,99545
Queens,2010,2199169
Rensselaer,2010,158629
Richmond,2010,463450
Rockland,2010,305461
St. Lawrence,2010,111778
Saratoga,2010,217264
Schenectady,2010,153268
Schoharie,2010,32789
Schuyler,2010,18566
Seneca,2010,35309
Steuben,2010,98724
Suffolk,2010,1482548
Sullivan,2010,77625
Tioga,2010,51377
Tompkins,2010,100612
Ulster,2010,182782
Warren,2010,65707
Washington,2010,63088
Wayne,2010,93654
Westchester,2010,939406
Wyoming,2010,42367
Yates,2010,25250
Albany,2009,298341
Allegany,2009,49391
Bronx,2009,1381529
Broome,2009,195209
Cattaraugus,2009,80349
Cayuga,2009,79994
Chautauqua,2009,134078
Chemung,2009,88161
Chenango,2009,50956
Clinton,2009,81755
Columbia,2009,62217
Cortland,2009,48207
Delaware,2009,46194
Dutchess,2009,292187
Erie,2009,914200
Essex,2009,37927
Franklin,2009,50374
Fulton,2009,55031
Genesee,2009,58208
Greene,2009,49071
Hamilton,2009,5011
Herkimer,2009,62439
Jefferson,2009,117595
Kings,2009,2538140
Lewis,2009,26205
Livingston,2009,63162
Madison,2009,69868
Monroe,2009,731621
Montgomery,2009,48632
Nassau,2009,1354141
New York,2009,1620962
Niagara,2009,214613
Oneida,2009,231029
Onondaga,2009,453846
Ontario,2009,104205
Orange,2009,376548
Orleans,2009,42380
Oswego,2009,121588
Otsego,2009,62086
Putnam,2009,99111
Queens,2009,2278860
Rensselaer,2009,155043
Richmond,2009,483168
Rockland,2009,297298
St. Lawrence,2009,109742
Saratoga,2009,216491
Schenectady,2009,150474
Schoharie,2009,31813
Schuyler,2009,18896
Seneca,2009,34181
Steuben,2009,96674
Suffolk,2009,1511028
Sullivan,2009,75924
Tioga,2009,50367
Tompkins,2009,100583
Ulster,2009,181510
Warren,2009,65743
Washington,2009,62486
Wayne,2009,91658
Westchester,2009,949050
Wyoming,2009,41820
Yates,2009,24526
Albany,2008,303739
Allegany,2008,49177
Bronx,2008,1363488
Broome,2008,201029
Cattaraugus,2008,80761
Cayuga,2008,80482
Chautauqua,2008,135229
Chemung,2008,88503
Chenango,2008,51326
Clinton,2008,82401
Columbia,2008,63253
Cortland,2008,49537
Delaware,2008,48363
Dutchess,2008,296267
Erie,2008,920571
Essex,2008,39435
Franklin,2008,51907
Fulton,2008,55584
Genesee,2008,59895
Greene,2008,49467
Hamilton,2008,4893
Herkimer,2008,64404
Jefferson,2008,115033
Kings,2008,2460361
Lewis,2008,26878
Livingston,2008,65637
Madison,2008,73075
Monroe,2008,741018
Montgomery,2008,49951
Nassau,2008,1325129
New York,2008,1587022
Niagara,2008,215793
Oneida,2008,234482
Onondaga,2008,463472
Ontario,2008,106302
Orange,2008,370201
Orleans,2008,43254
Oswego,2008,122366
Otsego,2008,62561
Putnam,2008,99537
Queens,2008,2193623
Rensselaer,2008,159011
Richmond,2008,463701
Rockland,2008,305413
St. Lawrence,2008,111684
Saratoga,2008,217282
Schenectady,2008,153360
Schoharie,2008,32890
Schuyler,2008,18644
Seneca,2008,35370
Steuben,2008,98726
Suffolk,2008,1480218
Sullivan,2008,77755
Tioga,2008,51498
Tompkins,2008,100383
Ulster,2008,183174
Warren,2008,65848
Washington,2008,63252
Wayne,2008,93739
Westchester,2008,937449
Wyoming,2008,42281
Yates,2008,25352
Albany,2007,303858
Allegany,2007,49079
Bronx,2007,1354056
Broome,2007,200877
Cattaraugus,2007,81056
Cayuga,2007,80629
Chautauqua,2007,135481
Chemung,2007,88634
Chenango,2007,51463
Clinton,2007,82556
Columbia,2007,63430
Cortland,2007,49624
Delaware,2007,48450
Dutchess,2007,295319
Erie,2007,921887
Essex,2007,39373
Franklin,2007,51782
Fulton,2007,55489
Genesee,2007,59930
Greene,2007,49537
Hamilton,2007,4969
Herkimer,2007,64343
Jefferson,2007,115059
Kings,2007,2441324
Lewis,2007,27086
Livingston,2007,65460
Madison,2007,72709
Monroe,2007,739249
Montgomery,2007,49798
Nassau,2007,1322048
New York,2007,1581402
Niagara,2007,215791
Oneida,2007,234488
Onondaga,2007,461287
Ontario,2007,105216
Orange,2007,368464
Orleans,2007,43342
Oswego,2007,122213
Otsego,2007,62914
Putnam,2007,99454
Queens,2007,2177351
Rensselaer,2007,158243
Richmond,2007,459642
Rockland,2007,301668
St. Lawrence,2007,111586
Saratoga,2007,215798
Schenectady,2007,152275
Schoharie,2007,32894
Schuyler,2007,18707
Seneca,2007,35469
Steuben,2007,98541
Suffolk,2007,1475255
Sullivan,2007,77991
Tioga,2007,51565
Tompkins,2007,99910
Ulster,2007,182818
Warren,2007,65740
Washington,2007,63054
Wayne,2007,93539
Westchester,2007,933414
Wyoming,2007,42515
Yates,2007,25234
Albany,2006,303997
Allegany,2006,49359
Bronx,2006,1348164
Broome,2006,200905
Cattaraugus,2006,81342
Cayuga,2006,80892
Chautauqua,2006,135640
Chemung,2006,88732
Chenango,2006,51391
Clinton,2006,82547
Columbia,2006,63427
Cortland,2006,49449
Delaware,2006,48271
Dutchess,2006,294712
Erie,2006,925564
Essex,2006,39490
Franklin,2006,51511
Fulton,2006,55328
Genesee,2006,59919
Greene,2006,49513
Hamilton,2006,4987
Herkimer,2006,64029
Jefferson,2006,113650
Kings,2006,2436132
Lewis,2006,27001
Livingston,2006,65357
Madison,2006,72042
Monroe,2006,738329
Montgomery,2006,49724
Nassau,2006,1324905
New York,2006,1578171
Niagara,2006,216148
Oneida,2006,234229
Onondaga,2006,460925
Ontario,2006,104644
Orange,2006,366908
Orleans,2006,43420
Oswego,2006,122354
Otsego,2006,63032
Putnam,2006,99357
Queens,2006,2173862
Rensselaer,2006,157312
Richmond,2006,457577
Rockland,2006,299390
St. Lawrence,2006,111556
Saratoga,2006,214627
Schenectady,2006,151768
Schoharie,2006,32661
Schuyler,2006,18752
Seneca,2006,35223
Steuben,2006,98473
Suffolk,2006,1475626
Sullivan,2006,77231
Tioga,2006,51536
Tompkins,2006,99651
Ulster,2006,182845
Warren,2006,65554
Washington,2006,62771
Wayne,2006,93595
Westchester,2006,931426
Wyoming,2006,42673
Yates,2006,25025
Albany,2005,302791
Allegany,2005,49768
Bronx,2005,1351736
Broome,2005,200477
Cattaraugus,2005,82039
Cayuga,2005,81104
Chautauqua,2005,136139
Chemung,2005,88860
Chenango,2005,51154
Clinton,2005,82233
Columbia,2005,63717
Cortland,2005,49330
Delaware,2005,48377
Dutchess,2005,294362
Erie,2005,931745
Essex,2005,39321
Franklin,2005,51257
Fulton,2005,55301
Genesee,2005,60068
Greene,2005,49142
Hamilton,2005,5093
Herkimer,2005,64292
Jefferson,2005,113486
Kings,2005,2445809
Lewis,2005,26773
Livingston,2005,65322
Madison,2005,71471
Monroe,2005,738506
Montgomery,2005,49505
Nassau,2005,1332318
New York,2005,1573573
Niagara,2005,216818
Oneida,2005,234282
Onondaga,2005,460910
Ontario,2005,104259
Orange,2005,364522
Orleans,2005,43475
Oswego,2005,122640
Otsego,2005,63069
Putnam,2005,99575
Queens,2005,2185222
Rensselaer,2005,156104
Richmond,2005,457028
Rockland,2005,298737
St. Lawrence,2005,111606
Saratoga,2005,212975
Schenectady,2005,150200
Schoharie,2005,32534
Schuyler,2005,18880
Seneca,2005,35177
Steuben,2005,98868
Suffolk,2005,1477687
Sullivan,2005,76780
Tioga,2005,51611
Tompkins,2005,99433
Ulster,2005,182438
Warren,2005,65206
Washington,2005,62468
Wayne,2005,93727
Westchester,2005,933401
Wyoming,2005,42780
Yates,2005,25129
Albany,2004,302173
Allegany,2004,50311
Bronx,2004,1358963
Broome,2004,200974
Cattaraugus,2004,82864
Cayuga,2004,81284
Chautauqua,2004,137174
Chemung,2004,89777
Chenango,2004,51297
Clinton,2004,81803
Columbia,2004,63646
Cortland,2004,49628
Delaware,2004,48283
