County,Year,Population
Rockland,1996,277714
St. Lawrence,1996,113888
Saratoga,1996,193937
Schenectady,1996,149351
Schoharie,1996,32111
Schuyler,1996,19089
Seneca,1996,33500
Steuben,1996,99212
Suffolk,1996,1368366
Sullivan,1996,72758
Tioga,1996,52287
Tompkins,1996,96298
Ulster,1996,173205
Warren,1996,62337
Washington,1996,61278
Wayne,1996,93128
Westchester,1996,902174
Wyoming,1996,43950
Yates,1996,24209
Albany,1995,299725
Allegany,1995,51251
Bronx,1995,1262064
Broome,1995,207478
Cattaraugus,1995,85040
Cayuga,1995,82964
Chautauqua,1995,142542
Chemung,1995,93675
Chenango,1995,52127
Clinton,1995,82914
Columbia,1995,63790
Cortland,1995,49123
Delaware,1995,48638
Dutchess,1995,266538
Erie,1995,973927
Essex,1995,38262
Franklin,1995,49965
Fulton,1995,55217
Genesee,1995,61105
Greene,1995,47187
Hamilton,1995,5245
Herkimer,1995,66711
Jefferson,1995,115361
Kings,1995,2372611
Lewis,1995,27364
Livingston,1995,64146
Madison,1995,70182
Monroe,1995,733643
Montgomery,1995,51649
Nassau,1995,1312950
New York,1995,1514184
Niagara,1995,223958
Oneida,1995,244736
Onondaga,1995,470235
Ontario,1995,98816
Orange,1995,323451
Orleans,1995,44524
Oswego,1995,123972
Otsego,1995,61671
Putnam,1995,89969
Queens,1995,2074581
Rensselaer,1995,154969
Richmond,1995,409600
Rockland,1995,276649
St. Lawrence,1995,114317
Saratoga,1995,193253
Schenectady,1995,150355
Schoharie,1995,32137
Schuyler,1995,19128
Seneca,1995,32698
Steuben,1995,99950
Suffolk,1995,1361391
Sullivan,1995,72379
Tioga,1995,52601
Tompkins,1995,96870
Ulster,1995,172362
Warren,1995,62271
Washington,1995,61225
Wayne,1995,92740
Westchester,1995,897945
Wyoming,1995,43709
Yates,1995,24064
